# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.7.0

rpg::entitydef::decayed_archer, string, 8008736B656C65746F6E
rpg::entitydef::decayed_archer::chest, string, 80126C656174686572206368657374706C617465
rpg::entitydef::decayed_archer::chest::nbt, string, 80137B646973706C61793A7B636F6C6F723A307D7D
rpg::entitydef::decayed_archer::display_name, string, 800E4465636179656420417263686572
rpg::entitydef::decayed_archer::effect_hit, string, 8005626C6F6F64
rpg::entitydef::decayed_archer::entity_type, string, 800E686F7374696C655F6E6F726D616C
rpg::entitydef::decayed_archer::feet, string, 800D6C65617468657220626F6F7473
rpg::entitydef::decayed_archer::head, string, 800573746F6E65
rpg::entitydef::decayed_archer::legs, string, 80106C656174686572206C656767696E6773
rpg::entitydef::decayed_archer::level, integer, 00000009
rpg::entitydef::decayed_archer::loot_table, string, 800E646563617965645F617263686572
rpg::entitydef::decayed_archer::mainhand, string, 8003626F77
rpg::entitydef::decayed_archer::params::attack_damage_primary, double, 401C000000000000
rpg::entitydef::decayed_archer::params::follow_range, double, 4038000000000000
rpg::entitydef::decayed_archer::params::follow_range_primary, double, 4038000000000000
rpg::entitydef::decayed_archer::params::max_health_primary, double, 403E000000000000
rpg::entitydef::decayed_archer::params::movement_speed, double, 3FC999999999999A
rpg::entitydef::decayed_archer::params::movement_speed_primary, double, 3FC999999999999A
rpg::entitydef::decayed_corpse, string, 80067A6F6D626965
rpg::entitydef::decayed_corpse::chest, string, 80126C656174686572206368657374706C617465
rpg::entitydef::decayed_corpse::display_name, string, 800E4465636179656420436F72707365
rpg::entitydef::decayed_corpse::effect_hit, string, 8005626C6F6F64
rpg::entitydef::decayed_corpse::entity_type, string, 800E686F7374696C655F6E6F726D616C
rpg::entitydef::decayed_corpse::head, string, 800B706C617965722068656164
rpg::entitydef::decayed_corpse::head::nbt, string, 811A7B536B756C6C4F776E65723A7B49643A5B493B2D313836323836353636352C313532343538313436302C2D313130353032393034392C323039363335363737385D2C50726F706572746965733A7B74657874757265733A5B7B56616C75653A2265794A305A58683064584A6C6379493665794A5453306C4F496A7037496E567962434936496D6830644841364C7939305A58683064584A6C637935746157356C59334A685A6E5175626D56304C33526C65485231636D55765A44557A4E4441354D474532595759315A4759344E446C694E44646B5A4455785A44417A4E324530593259324F4455325957466D4E7A45305A575A6D5A6A41315932566B596A51334F5463794D3255784D6A426A4E794A396658303D227D5D7D7D7D
rpg::entitydef::decayed_corpse::level, integer, 00000002
rpg::entitydef::decayed_corpse::loot_table, string, 800E646563617965645F636F72707365
rpg::entitydef::decayed_corpse::mainhand, string, 8005737469636B
rpg::entitydef::decayed_corpse::params::attack_damage_primary, double, 4008000000000000
rpg::entitydef::decayed_corpse::params::follow_range, double, 4030000000000000
rpg::entitydef::decayed_corpse::params::follow_range_primary, double, 4030000000000000
rpg::entitydef::decayed_corpse::params::max_health_primary, double, 4030000000000000
rpg::entitydef::decayed_corpse::params::movement_speed, double, 3FC999999999999A
rpg::entitydef::decayed_corpse::params::movement_speed_primary, double, 3FC999999999999A
rpg::entitydef::undead_general, string, 80067A6F6D626965
rpg::entitydef::undead_general::chest, string, 80126C656174686572206368657374706C617465
rpg::entitydef::undead_general::display_name, string, 800E556E646561642047656E6572616C
rpg::entitydef::undead_general::effect_hit, string, 8005626C6F6F64
rpg::entitydef::undead_general::entity_type, string, 800E686F7374696C655F6E6F726D616C
rpg::entitydef::undead_general::feet, string, 800D6C65617468657220626F6F7473
rpg::entitydef::undead_general::head, string, 800B706C617965722068656164
rpg::entitydef::undead_general::head::nbt, string, 811A7B536B756C6C4F776E65723A7B49643A5B493B2D313836323836353636352C313532343538313436302C2D313130353032393034392C323039363335363737385D2C50726F706572746965733A7B74657874757265733A5B7B56616C75653A2265794A305A58683064584A6C6379493665794A5453306C4F496A7037496E567962434936496D6830644841364C7939305A58683064584A6C637935746157356C59334A685A6E5175626D56304C33526C65485231636D55764E6A6331593259314D5449784D6A673559324934593251785A6A41354E6D46684D54646D5A446B785A47466C4E7A51324F474D7A4D32566A597A55324E446C6D4E6A41305A446B344D5749785A445A6B4D6A686C4E534A396658303D227D5D7D7D7D
rpg::entitydef::undead_general::legs, string, 80106C656174686572206C656767696E6773
rpg::entitydef::undead_general::level, integer, 0000000C
rpg::entitydef::undead_general::loot_table, string, 800E756E646561645F67656E6572616C
rpg::entitydef::undead_general::mainhand, string, 800973746F6E6520617865
rpg::entitydef::undead_general::params::attack_damage_primary, double, 4022000000000000
rpg::entitydef::undead_general::params::follow_range, double, 4030000000000000
rpg::entitydef::undead_general::params::follow_range_primary, double, 4030000000000000
